winner,team_A_champ_1,team_A_champ_2,team_A_champ_3,team_A_champ_4,team_A_champ_5,team_B_champ_1,team_B_champ_2,team_B_champ_3,team_B_champ_4,team_B_champ_5
1,12,57,67,112,140,116,117,119,209,210
1,2,54,107,140,209,71,94,112,131,208
0,2,3,117,131,208,88,110,112,140,209
0,12,88,110,117,119,2,57,140,209,214
0,39,53,54,116,213,88,94,139,140,214
1,2,21,78,110,112,67,103,107,131,208
1,12,88,110,139,213,2,112,119,141,214
0,2,12,72,107,112,3,88,103,110,119
1,2,4,70,117,119,12,88,110,112,208
0,61,88,98,110,118,2,57,139,212,213
0,57,70,120,140,209,88,110,119,128,212
1,3,54,107,140,211,67,106,110,131,208
1,57,93,116,117,119,67,110,112,208,214
0,12,67,90,210,213,54,130,131,208,211
1,12,41,88,110,140,2,3,112,130,213
0,2,93,110,112,140,117,130,211,213,214
1,57,78,88,112,138,4,54,116,140,209
0,4,50,88,140,209,67,78,107,117,213
1,3,54,88,107,140,78,123,139,210,211
1,57,88,139,140,214,54,78,116,210,213
0,3,4,41,88,140,12,54,75,95,119
0,3,54,67,78,213,78,94,117,140,211
0,2,57,128,140,209,70,88,110,131,208
1,4,78,116,117,140,12,14,110,120,213
0,12,67,94,117,119,54,57,78,116,213
0,2,57,81,140,214,3,6,39,208,211
0,4,12,67,96,140,39,78,90,116,119
0,2,76,78,110,119,3,21,67,112,210
1,54,67,110,119,131,70,123,140,211,214
1,12,57,67,112,119,3,116,117,131,135
0,3,12,21,117,120,57,67,78,96,119
0,70,88,93,94,140,3,30,117,210,213
0,94,112,116,119,214,54,57,140,209,211
1,3,67,112,123,140,12,110,128,211,213
1,53,88,107,112,140,54,57,67,78,213
1,3,4,117,140,211,57,73,88,213,214
0,42,71,112,131,208,2,76,107,140,212
1,7,88,93,128,140,3,21,67,75,210
1,67,70,78,103,140,2,54,94,208,209
0,3,90,116,119,123,70,88,110,140,209
0,3,54,110,116,140,57,78,88,112,208
1,3,50,100,107,140,22,54,93,116,210
0,57,70,103,120,140,12,110,116,128,208
1,2,3,98,128,208,54,63,78,211,213
1,13,53,54,88,140,67,78,110,112,208
0,12,54,88,107,140,2,53,119,130,139
0,88,93,107,139,140,41,57,67,131,208
1,67,83,94,117,140,57,78,112,116,213
1,57,75,88,93,140,110,112,211,213,214
0,2,3,112,137,140,67,103,107,213,214
1,39,57,68,137,140,67,107,112,213,214
1,57,67,112,137,140,2,107,141,213,214
0,70,71,110,131,208,67,107,117,140,214
1,2,54,55,107,135,12,70,71,119,130
1,55,67,107,117,135,71,103,110,131,208
1,12,57,70,88,140,2,3,4,112,208
0,2,3,10,107,208,12,88,110,139,140
0,2,41,57,131,208,54,70,123,140,211
1,2,12,110,138,139,70,88,107,140,209
1,2,57,93,112,140,12,88,110,141,213
0,3,39,57,68,119,12,21,88,107,112
0,2,4,12,15,70,18,54,78,119,211
0,54,57,67,140,209,70,94,100,131,208
1,68,110,131,134,208,76,123,135,209,211
0,54,67,93,103,140,41,107,131,208,211
0,3,54,110,116,138,70,78,94,100,140
1,12,57,103,116,140,41,107,131,208,211
1,54,67,70,75,140,12,106,208,209,211
1,2,21,70,75,212,4,88,131,139,208
0,3,21,67,93,117,78,107,112,140,211
0,50,70,88,107,119,75,78,112,140,211
0,54,67,103,131,138,12,57,112,140,211
1,4,12,54,116,119,2,78,110,128,140
1,57,112,137,140,211,7,41,88,213,214
0,67,70,78,103,140,53,54,116,123,213
0,41,57,93,140,211,88,107,131,139,208
0,12,60,70,107,213,54,67,123,140,214
0,4,5,21,90,209,54,57,116,131,208
1,2,70,107,131,208,57,139,140,209,211
0,2,70,110,131,138,78,88,94,139,140
1,70,110,120,140,214,71,107,128,209,213
1,22,54,67,78,123,2,12,90,107,213
0,70,78,88,107,140,2,3,112,126,212
1,3,70,116,124,140,12,41,210,211,213
1,12,22,39,71,73,54,93,95,112,140
1,2,39,141,212,214,54,75,140,209,211
1,78,88,110,119,128,12,73,75,100,208
1,57,78,88,98,140,2,21,70,94,212
1,12,21,54,57,211,38,70,78,120,213
1,21,54,100,110,212,67,103,107,140,209
1,12,54,94,126,140,22,116,123,131,139
0,7,90,131,208,211,73,121,134,210,214
0,4,67,93,128,140,12,57,76,100,213
1,21,70,78,100,141,4,88,119,131,134
1,12,54,56,94,208,4,90,116,140,209
1,4,54,71,137,140,3,88,90,118,208
0,3,4,88,90,140,75,93,117,120,212
0,4,54,67,137,138,43,78,100,123,212
1,4,12,24,88,140,78,117,119,123,211
1,3,67,70,119,123,4,93,100,128,140
1,4,41,67,119,131,12,70,75,100,140
0,3,12,15,117,120,70,88,119,130,136
1,3,54,55,61,107,12,41,57,211,213
0,41,57,68,137,140,54,210,211,213,214
0,4,67,78,112,213,3,54,61,210,211
0,75,78,88,107,140,2,3,76,135,209
0,2,107,117,119,209,112,140,210,211,214
1,2,12,61,75,117,70,107,112,116,213
1,21,41,75,93,211,4,54,67,131,208
1,70,94,131,140,211,2,107,112,212,214
0,2,70,115,131,208,57,88,140,209,210
1,3,54,57,116,140,2,21,76,107,212
1,21,54,67,89,209,2,70,110,140,214
0,4,12,100,119,139,7,70,88,131,208
1,57,68,112,131,208,54,110,211,213,214
1,21,41,57,88,93,13,78,100,117,119
1,70,72,78,88,141,4,67,128,140,214
1,57,62,78,88,208,12,70,100,141,213
0,2,61,78,110,117,3,54,88,94,140
1,3,24,123,140,211,4,88,139,209,213
1,88,93,123,139,212,2,107,117,208,214
1,39,75,88,118,119,68,93,107,117,140
1,18,54,78,88,107,3,57,116,117,140
0,12,54,67,107,119,41,57,68,131,208
1,13,70,88,119,212,4,103,137,140,211
1,39,53,68,123,212,76,78,116,210,213
0,40,70,75,100,140,54,57,67,213,214
0,62,70,71,117,207,2,12,107,139,208
1,61,116,128,131,210,70,140,209,211,214
0,12,57,67,112,140,106,107,137,138,211
0,14,68,130,140,209,110,112,116,138,214
1,2,57,70,137,138,68,94,139,140,212
1,78,100,112,130,213,52,62,119,209,211
1,12,94,100,128,140,57,103,209,211,213
0,57,78,116,117,138,68,94,112,137,140
1,39,57,68,135,142,71,94,112,119,122
0,12,70,88,130,140,2,57,137,141,213
0,41,57,68,140,214,2,93,94,112,213
0,12,67,106,107,140,4,54,68,70,207
0,54,61,71,130,207,14,68,110,140,212
1,12,70,88,107,140,57,78,128,134,138
0,3,57,71,117,140,12,36,90,130,135
0,2,70,78,126,207,12,57,112,211,213
1,2,22,103,130,212,50,71,107,131,208
0,7,67,78,112,138,2,54,57,140,214
1,12,70,123,135,211,57,88,128,213,214
0,4,22,67,117,118,96,137,140,210,211
1,2,75,78,130,138,3,57,68,128,213
0,2,4,128,137,138,55,71,130,139,140
1,3,4,68,117,207,2,103,140,141,212
1,39,68,75,140,214,78,94,112,138,211
1,21,54,57,68,214,3,100,118,128,208
1,21,54,78,116,130,4,131,139,208,211
1,68,70,98,123,208,54,57,137,138,211
1,3,54,67,119,122,4,12,90,116,213
0,12,57,70,88,140,4,68,117,137,138
1,4,61,90,116,214,3,117,119,210,211
1,3,68,70,130,207,57,78,88,103,208
0,4,61,68,112,118,13,54,55,140,214
1,57,78,88,125,207,4,68,128,140,214
1,12,50,88,107,138,67,78,117,140,210
0,28,39,71,78,140,58,116,130,138,214
1,4,21,70,100,128,58,68,78,140,141
1,21,57,68,103,131,2,107,112,207,212
1,2,12,112,119,126,68,103,130,131,135
0,13,21,68,128,212,57,112,140,211,214
0,3,21,94,117,133,110,112,131,208,211
0,61,94,100,112,118,54,67,110,212,213
1,3,21,70,117,123,57,68,112,138,214
0,3,88,128,131,208,2,75,140,212,214
0,2,54,57,131,138,55,70,107,140,143
0,2,71,75,110,140,70,88,93,107,213
1,2,57,112,137,138,56,102,107,131,140
0,12,18,54,68,130,2,57,128,140,214
0,2,57,131,139,208,88,122,128,130,207
0,12,100,130,139,140,57,120,128,131,138
0,7,70,100,137,140,57,68,128,138,212
1,68,107,112,131,138,14,57,78,140,211
0,2,21,128,141,214,57,70,100,140,212
1,57,68,134,138,214,94,116,128,140,209
0,2,21,54,57,209,90,140,210,211,214
1,4,49,88,128,140,21,54,100,107,212
0,12,90,100,110,138,14,57,78,140,211
0,12,54,107,116,119,68,94,112,131,208
0,13,40,116,117,208,4,88,209,213,214
0,12,67,117,140,210,3,54,130,211,213
0,21,78,103,116,130,53,57,58,67,207
0,2,57,78,119,139,3,88,94,112,140
1,3,24,78,116,138,4,68,117,140,209
0,49,68,112,130,140,2,7,43,122,207
0,2,50,110,122,207,41,88,107,131,208
0,4,39,68,78,140,107,112,116,213,214
0,4,39,78,116,140,41,68,93,130,213
0,4,61,68,103,131,54,67,140,209,214
0,2,54,55,130,140,68,90,107,137,138
1,54,57,67,78,208,36,107,112,140,209
0,54,57,67,140,209,2,90,107,131,208
0,2,54,94,138,214,12,57,139,140,211
0,4,71,82,117,131,70,83,112,116,140
0,12,57,68,70,140,54,71,107,137,213
0,14,57,88,137,140,54,57,71,213,214
0,68,93,112,130,140,71,89,107,138,214
1,12,13,14,88,140,54,67,130,213,214
0,2,93,107,117,208,70,120,130,140,212
0,67,94,112,137,140,57,68,71,208,214
0,7,12,71,103,140,2,31,78,130,138
1,4,55,67,71,135,18,68,130,139,214
0,4,54,55,131,135,13,93,106,116,119
1,83,116,123,137,138,55,57,117,140,214
0,54,68,130,137,140,57,71,112,213,214
0,12,21,41,107,116,57,100,117,212,214
1,39,49,57,71,140,68,76,122,207,210
1,2,12,57,117,208,68,112,130,137,138
1,3,21,24,116,130,68,78,107,117,140
1,12,57,68,112,140,4,128,138,211,214
1,14,49,116,140,209,70,71,75,213,214
1,5,54,137,138,212,57,139,211,213,214
0,21,52,62,70,212,55,57,112,131,207
1,54,64,107,131,208,49,67,112,140,209
1,14,68,107,140,214,103,116,131,208,209
1,54,57,71,93,140,12,70,88,138,212
1,57,70,88,119,214,107,116,117,140,209
1,2,12,70,138,212,57,68,128,140,214
0,12,57,68,90,140,2,54,115,138,214
1,71,98,107,117,208,94,112,211,213,214
1,12,61,88,94,112,2,75,110,140,214
1,2,54,61,78,130,57,68,90,137,140
1,14,93,107,140,211,52,54,141,207,214
1,54,100,110,137,138,57,72,90,211,214
0,2,70,78,94,207,12,54,71,212,213
1,36,93,117,140,141,68,90,130,131,208
1,2,107,112,137,138,41,71,126,140,214
0,3,12,88,117,119,56,103,123,140,214
1,12,21,54,67,107,70,71,130,137,138
0,54,57,67,131,208,50,68,78,130,207
0,68,103,107,122,207,36,130,139,140,214
0,70,71,78,107,140,2,93,128,130,212
1,12,68,107,128,208,57,70,88,138,214
1,48,64,107,112,131,49,76,123,140,211
0,12,110,117,140,211,90,116,130,131,208
0,68,70,107,131,208,110,112,140,211,214
0,4,12,116,117,207,7,83,100,140,214
1,21,54,57,68,131,36,49,70,130,138
0,54,78,107,116,140,52,57,70,213,214
0,12,21,24,68,130,42,78,116,117,140
1,2,4,41,137,138,57,100,134,140,214
0,78,110,120,139,140,73,88,138,210,214
1,36,90,107,131,138,71,94,139,140,214
1,14,70,88,107,135,2,94,139,140,214
0,68,90,107,131,208,12,117,123,140,211
0,21,50,57,68,214,39,71,78,107,213
0,12,112,123,140,211,2,110,138,139,209
0,54,57,61,67,131,68,70,94,140,214
0,12,57,88,112,140,68,106,119,141,214
1,3,67,78,112,123,2,54,57,119,214
1,31,78,88,99,110,68,93,103,107,207
1,34,57,68,131,208,71,130,139,213,214
0,13,68,78,106,140,4,54,116,213,214
0,57,68,93,128,140,41,71,107,131,208
1,12,94,112,116,138,57,68,93,140,141
1,57,78,117,123,211,54,71,116,140,210
1,2,78,98,130,138,68,110,117,131,208
1,49,70,91,107,140,54,116,122,207,209
0,12,39,70,130,140,42,64,112,138,214
1,31,70,88,119,130,12,21,41,57,211
0,14,88,107,119,137,2,13,54,122,207
1,12,54,55,130,140,70,78,107,120,138
1,8,12,88,130,140,81,211,212,213,214
1,2,41,53,130,212,54,57,68,122,207
0,54,57,88,138,214,12,112,130,140,211
1,3,49,116,117,140,13,70,88,122,207
0,2,70,72,107,136,88,112,130,131,207
0,54,57,100,131,135,93,112,130,208,211
1,12,68,75,123,140,94,100,112,135,214
1,12,43,54,61,88,2,70,72,107,214
0,2,14,93,208,212,54,88,130,207,209
1,14,57,68,131,208,116,128,130,140,209
1,2,12,62,70,140,68,110,112,138,214
0,12,68,107,112,135,21,54,116,209,214
0,4,12,39,116,140,78,88,112,138,141
1,14,68,107,137,140,53,109,128,207,212
1,2,14,22,57,118,55,117,130,137,140
1,57,70,100,137,140,3,68,117,138,214
0,2,12,14,21,57,55,78,112,130,208
1,3,100,112,140,214,58,70,107,211,213
1,14,68,70,107,140,2,21,96,110,214
1,36,78,112,115,138,41,57,68,140,214
1,13,54,61,137,211,2,70,130,140,212
1,8,78,100,140,209,57,93,112,138,211
0,57,68,78,103,138,42,55,139,140,214
0,12,55,94,112,140,2,57,103,213,214
0,3,12,117,121,211,55,112,130,138,214
0,3,12,15,88,112,41,64,72,130,214
1,57,88,93,112,140,68,94,131,139,208
1,12,41,116,140,141,21,31,88,210,212
1,54,61,70,130,211,67,106,119,126,214
1,3,116,128,140,209,70,110,133,213,214
1,24,57,70,100,140,12,90,211,212,213
0,12,41,88,130,140,4,62,120,131,208
1,76,88,93,110,119,71,112,130,140,211
1,7,12,70,88,140,18,117,211,212,214
0,78,88,90,107,140,2,57,70,138,209
0,12,68,112,140,142,3,58,137,138,211
0,3,43,68,140,210,61,110,128,131,211
1,14,57,68,131,208,41,46,122,130,207
1,12,57,58,64,140,30,112,210,213,214
0,58,67,78,119,210,13,88,128,138,214
0,12,57,70,88,208,68,76,119,130,214
1,2,41,78,94,138,12,13,68,112,140
0,12,72,86,103,128,14,67,78,110,140
0,57,64,70,131,208,49,62,68,135,210
1,2,4,54,72,93,13,106,140,211,214
1,71,83,94,100,140,12,57,117,138,211
1,41,109,110,122,207,72,112,123,211,212
1,78,88,107,128,140,12,18,70,116,213
0,3,41,88,107,140,70,78,110,128,213
1,41,55,107,109,140,94,112,131,208,211
1,107,109,135,139,214,12,94,117,211,213
1,12,58,67,107,140,94,103,211,213,214
0,12,18,68,71,110,2,4,117,140,214
1,54,64,130,131,208,70,209,211,213,214
1,54,67,78,130,140,73,88,94,138,214
1,2,57,112,137,138,12,103,110,120,140
0,12,41,67,130,140,57,68,112,208,214
1,54,64,78,119,130,3,67,110,112,140
0,12,57,70,109,140,54,55,107,135,211
0,12,13,55,70,119,42,54,64,78,138
0,57,68,117,213,214,107,112,131,208,211
1,2,12,13,58,140,128,138,211,212,214
1,12,13,70,133,140,110,128,138,211,214
0,12,55,112,130,212,41,57,100,140,214
1,18,100,117,130,214,70,71,140,210,211
0,3,67,112,130,140,13,41,100,213,214
1,2,4,93,128,140,70,99,100,130,214
1,12,67,110,112,140,63,88,130,213,214
1,14,57,70,88,135,54,93,123,140,211
1,54,55,70,72,130,2,69,112,212,213
0,12,58,107,116,140,57,68,112,213,214
1,12,110,116,128,138,2,14,130,213,214
1,21,68,70,123,214,54,107,118,208,211
1,54,88,93,130,212,100,107,112,131,208
1,83,100,107,140,214,12,57,117,211,213
0,12,64,70,123,140,41,68,94,138,214
0,62,67,78,123,138,14,88,110,140,214
0,18,70,88,107,214,55,128,130,135,211
0,3,12,68,112,140,57,88,118,119,139
0,42,68,72,117,136,83,122,130,207,211
1,68,94,112,122,207,12,107,209,211,213
0,64,72,78,128,130,14,67,70,123,207
1,70,78,88,110,138,2,13,92,103,214
0,18,22,70,98,211,4,54,109,122,207
1,3,54,94,140,211,12,88,130,139,213
1,67,103,107,122,207,94,100,112,140,214
0,3,67,78,117,213,12,112,140,210,211
1,70,72,88,130,136,83,122,207,210,211
1,67,78,90,107,140,54,57,116,137,213
0,3,21,41,93,133,14,110,131,208,211
0,12,68,117,130,140,70,88,107,131,208
